Заказчик,Область,Адрес,Код,Дата готовности,цена,Дата оплаты *,profit,Вид работ,№
"ООО ""АТМАКОМ""",Донецька ,"Про обстеження конструкцій металевої щогли (Н=18,0м) на покрівлі будівлі (Н=13,0м) загальною висотою Н=31,0м за адресою: Донецька обл., м. Мирноград (Димитров), вул. Курська 17, з перерахунком несучої здатності, з метою встановлення проектованого антенно-фідерного обладнання ",UD1925,04.09.2020,2500,04.09.2020,350,отчет,
"ООО ""АТМАКОМ""", Харківська ,"Про обстеження конструкцій антенної опори загальною висотою Н=42.0 за адресою: м. Харків, вул. Киргізська, 128, з перерахунком несучої здатності, з метою встановлення додаткового антенно-фідерного обладнання ",UK0978,04.09.2020,2500,04.09.2020,350,отчет,
"ООО ""АТМАКОМ""", Харківська ,"Про обстеження конструкцій антенної опори загальною висотою Н=42,8 за адресою: Харківська обл.,  
Дергачівський р-н,с.Черкаська Лозова, з перерахунком несучої здатності, з метою встановлення додаткового антенно-фідерного обладнання ",UK0941,04.09.2020,2500,04.09.2020,350,отчет,
"ООО ""АТМАКОМ""", Харківська ,"Про обстеження конструкцій металевої щогли (Н=24,0м) на покрівлі будівлі (Н=9,1м) загальною висотою Н=33,1м за адресою: м. Харків, пр. Олександрівський 144, з перерахунком несучої здатності, з метою встановлення проектованого антенно-фідерного обладнання UK3745",UK3745,18.09.2020,2500,18.09.2020,350,отчет,
"ООО ""АТМАКОМ""",Луганська ,"Про визначення несучої здатності вежі висотою Н=39,5м, розташованої за адресою: Луганська обл., Новопсковський р-н, с. Кам'янка, земельна ділянка, з перерахунком несучої здатності, з метою встановлення додаткового антенно-фідерного обладнання  UG0630",UG0630,18.09.2020,2500,18.09.2020,350,отчет,
"ООО ""АТМАКОМ""", Харківська ,"Про обстеження конструкцій металевої щогли (Н=23,1м) на покрівлі будівлі (Н=13,4м) загальною висотою Н=36,5м за адресою: м. Харків, пр. Московський 259, з перерахунком несучої здатності, з метою встановлення проектованого антенно-фідерного обладнання  UG0914",UG0914,18.09.2020,2500,18.09.2020,350,отчет,
"ООО ""АТМАКОМ""", Харківська ,"Про обстеження конструкцій антенної опори загальною висотою Н=42.00м за адресою: Харківська обл., Харківський р-н, 
м. Харків, вул. Єнакієвська,19\318, з перерахунком несучої здатності, з метою встановлення додаткового антенно-фідерного обладнання  UG0955",UG0955,18.09.2020,2500,18.09.2020,350,отчет,
"ООО ""АТМАКОМ""", Харківська ,"Про обстеження конструкцій антенної опори загальною висотою Н=42.45м за адресою: Харківська обл., Харківський р-н, смт Безлюдівка, вул. Перемоги, 162, з перерахунком несучої здатності, з метою встановлення додаткового антенно-фідерного обладнання  UG0885",UG0885,18.09.2020,2500,18.09.2020,350,отчет,
"ООО ""АТМАКОМ""", Харківська ,"Про обстеження конструкцій металевої опори загальною висотою Н=30,9 м за адресою: м. Харків, вул. Світ Шахтаря, 4/6, з перерахунком несучої здатності, з метою встановлення додаткового антенно-фідерного обладнання  UK3947",UK3947,08.10.2020,2500,08.10.2020,350,отчет,
"ООО ""АТМАКОМ""", Харківська ,"Про обстеження конструкцій антенної опори загальною висотою Н=42.3м за адресою: Харківська обл., Харківський р-н, м. Харків, вул. Костичева, 29, з перерахунком несучої здатності, з метою встановлення додаткового антенно-фідерного обладнання UK3988",UK3988,08.10.2020,2500,08.10.2020,350,отчет,
"ООО ""АТМАКОМ""", Харківська ,"Про визначення несучої здатності вежі висотою Н=16,2м, розташованої за адресою: м. Харків, вул. Автогенна, 16, з перерахунком несучої здатності, з метою встановлення додаткового антенно-фідерного обладнання  UK3729",UK3729,08.10.2020,2500,08.10.2020,350,отчет,
"ООО ""АТМАКОМ""", Харківська ,"Про визначення несучої здатності вежі висотою Н=16,0м, розташованої за адресою: м. Харків, вул. Руставелі, 30, з перерахунком несучої здатності, з метою встановлення додаткового антенно-фідерного обладнання UK3711",UK3711,08.10.2020,2500,08.10.2020,350,отчет,
